Q0K5T4	 COG0792
Q0KF09	 COG0037
Q8KLU8	 COG4579
Q0K7F5	 COG0260
Q0KDR8	 COG0234
Q0KBK4	 COG0740
Q9X6U2	 COG1028
Q0K3N1	 COG4569
P27748	 COG3199
Q0K3S6	 COG4569
Q0KBP1	 COG0183
P27746	 COG0022
Q0K793	 COG2127
P27745	 COG1071
Q0K5M7	 COG0055
Q0K5M6	 COG0224
P52992	 COG1249
Q8VM97	 COG0239
Q0K9U5	 COG2220
Q0K292	 COG3132
Q0K7M0	 COG0165
Q0K8N7	 COG0736
Q0K998	 COG3842
Q04540	 COG0464
Q0K7L4	 COG0717
Q0KF88	 COG0156
P27747	 COG0508
P27747	 COG0596
P27749	 COG0599
Q0KBW5	 COG0190
Q0KD76	 COG1054
Q0KBK3	 COG1219
Q0KDR7	 COG0459
Q0K7S4	 COG1968
Q0K8Y4	 COG0293
Q0K739	 COG0382
Q0K844	 COG0318
Q0KEP0	 COG1660
Q0KED8	 COG0103
Q0KF86	 COG0502
Q0K7N2	 COG0540
Q0K786	 COG1666
Q0K846	 COG1414
Q0KEX1	 COG1301
Q0KCP6	 COG0804
Q0K623	 COG0185
Q0K5M5	 COG0056
Q0K8M2	 COG0236
Q0K5P5	 COG0404
Q0KEM6	 COG0503
Q0K181	 COG3058
Q0KED6	 COG0316
Q0K8N9	 COG0231
Q0K5N1	 COG0407
Q0K860	 COG1154
Q0KDH9	 COG0128
Q0K9W2	 COG1495
Q7WXC1	 COG4133
Q0KEQ3	 COG0669
Q0K572	 COG1513
Q0K6L4	 COG2941
Q0KC14	 COG0082
Q0K651	 COG0218
Q0KA17	 COG0264
Q0K5M3	 COG0711
Q0KF07	 COG1207
Q0KBD2	 COG0451
Q0K692	 COG0106
Q0KCA7	 COG0825
P31638	 COG0365
Q0K848	 COG2334
Q0K689	 COG0131
Q0K5N7	 COG2170
Q0K7H7	 COG2038
Q0K7G0	 COG0682
Q0K4N8	 ENOG5031P80
P42722	 COG0583
P19924	 COG3954
Q0KBT2	 COG2360
Q0K9E3	 COG1974
Q0K9B9	 COG0532
Q0K981	 COG2924
Q0KCE4	 COG2877
Q0K757	 COG0443
Q0KCW5	 COG1816
P46368	 COG1012
Q0K4F6	 COG3395
Q0K8J6	 COG0492
Q0K2R3	 ENOG50310WH
Q0K2K6	 COG3158
Q0KFE6	 COG0320
P19911	 COG0158
Q0KER8	 COG0109
Q7WXB8	 COG2332
Q0KCD1	 COG0492
Q0KCE1	 COG2919
Q0KA05	 COG2171
P28614	 COG3284
P50322	 COG0057
Q0KCY0	 COG0158
Q0K8F5	 COG0039
Q0KE19	 COG1212
Q0KFF8	 COG0154
P40119	 COG0637
